model,TDP,n_cores,TDP_per_core,source,manufacturer,threads
A8-7680,45.0,4.0,11.3,https://www.techpowerup.com/cpu-specs/,AMD,4
A9-9425 SoC,15.0,2.0,7.5,https://www.techpowerup.com/cpu-specs/,AMD,2
7552,200.0,48.0,4.2,https://www.amd.com/system/files/documents/AMD-EPYC-7002-Series-Datasheet.pdf,AMD,96
EPYC 7251,120.0,8.0,15.0,https://www.amd.com/en/products/cpu/amd-epyc-7251,AMD,16
Athlon 3000G,35.0,2.0,17.5,https://www.techpowerup.com/cpu-specs/,AMD,4
Core 2 Quad Q6600,95.0,4.0,23.8,https://www.techpowerup.com/cpu-specs/,Intel,4
Core i3-10100,65.0,4.0,16.3,https://www.techpowerup.com/cpu-specs/,Intel,8
Core i3-10300,62.0,4.0,15.5,https://www.techpowerup.com/cpu-specs/,Intel,8
Core i3-10320,91.0,4.0,22.8,https://www.techpowerup.com/cpu-specs/,Intel,8
Core i3-10350K,91.0,4.0,22.8,https://www.techpowerup.com/cpu-specs/,Intel,8
Core i3-9100,65.0,4.0,16.3,https://www.techpowerup.com/cpu-specs/,Intel,4
Core i3-9100F,65.0,4.0,16.3,https://www.techpowerup.com/cpu-specs/,Intel,4
Core i5-10400,65.0,6.0,10.8,https://www.techpowerup.com/cpu-specs/,Intel,12
Core i5-10400F,65.0,6.0,10.8,https://www.techpowerup.com/cpu-specs/,Intel,12
Core i5-10500,65.0,6.0,10.8,https://www.techpowerup.com/cpu-specs/,Intel,12
Core i5-10600,65.0,6.0,10.8,https://www.techpowerup.com/cpu-specs/,Intel,12
Core i5-10600K,95.0,6.0,15.8,https://www.techpowerup.com/cpu-specs/,Intel,12
Core i5-3570K,77.0,4.0,19.3,https://www.techpowerup.com/cpu-specs/,Intel,4
Core i5-4460,84.0,4.0,21.0,https://ark.intel.com/content/www/us/en/ark/products/80817/intel-core-i5-4460-processor-6m-cache-up-to-3-40-ghz.html,Intel,4
Core i5-9400,65.0,6.0,10.8,https://www.techpowerup.com/cpu-specs/,Intel,6
Core i5-9400F,65.0,6.0,10.8,https://www.techpowerup.com/cpu-specs/,Intel,6
Core i5-9600KF,95.0,6.0,15.8,https://www.techpowerup.com/cpu-specs/,Intel,6
Core i7-10700,65.0,8.0,8.1,https://www.techpowerup.com/cpu-specs/,Intel,16
Core i7-10700K,125.0,8.0,15.6,https://www.techpowerup.com/cpu-specs/,Intel,16
Core i7-4930K,130.0,6.0,21.7,https://www.techpowerup.com/cpu-specs/,Intel,12
Core i7-6700K,95.0,4.0,23.8,https://www.techpowerup.com/cpu-specs/,Intel,8
Core i7-8700K,95.0,6.0,15.8,https://www.techpowerup.com/cpu-specs/,Intel,12
Core i7-9700F,65.0,8.0,8.1,https://www.techpowerup.com/cpu-specs/,Intel,8
Core i7-9700K,95.0,8.0,11.9,https://www.techpowerup.com/cpu-specs/,Intel,8
Core i9-10900K,125.0,10.0,12.5,https://www.techpowerup.com/cpu-specs/,Intel,20
Core i9-10900KF,105.0,10.0,10.5,https://www.techpowerup.com/cpu-specs/,Intel,20
Core i9-10900XE,165.0,10.0,16.5,https://www.techpowerup.com/cpu-specs/,Intel,20
Core i9-10920XE,165.0,12.0,13.8,https://www.techpowerup.com/cpu-specs/,Intel,24
Core i9-9900K,95.0,8.0,11.9,https://www.techpowerup.com/cpu-specs/,Intel,16
FX-6300,95.0,6.0,15.8,https://www.techpowerup.com/cpu-specs/,AMD,6
FX-8350,125.0,8.0,15.6,https://www.techpowerup.com/cpu-specs/,AMD,8
Ryzen 3 2200G,65.0,4.0,16.3,https://www.techpowerup.com/cpu-specs/,AMD,4
Ryzen 3 3200G,65.0,4.0,16.3,https://www.techpowerup.com/cpu-specs/,AMD,4
Ryzen 3 3200U,15.0,2.0,7.5,https://www.techpowerup.com/cpu-specs/,AMD,4
Ryzen 5 1600,65.0,6.0,10.8,https://www.techpowerup.com/cpu-specs/,AMD,12
Ryzen 5 2600,65.0,6.0,10.8,https://www.techpowerup.com/cpu-specs/,AMD,12
Ryzen 5 3400G,65.0,4.0,16.3,https://www.techpowerup.com/cpu-specs/,AMD,8
Ryzen 5 3500U,15.0,4.0,3.8,https://www.techpowerup.com/cpu-specs/,AMD,8
Ryzen 5 3600,65.0,6.0,10.8,https://www.techpowerup.com/cpu-specs/,AMD,12
Ryzen 5 3600X,95.0,6.0,15.8,https://www.techpowerup.com/cpu-specs/,AMD,12
Ryzen 7 2700X,105.0,8.0,13.1,https://www.techpowerup.com/cpu-specs/,AMD,16
Ryzen 7 3700X,65.0,8.0,8.1,https://www.techpowerup.com/cpu-specs/,AMD,16
Ryzen 7 3800X,105.0,8.0,13.1,https://www.techpowerup.com/cpu-specs/,AMD,16
Ryzen 9 3900X,125.0,12.0,10.4,https://www.techpowerup.com/cpu-specs/,AMD,24
Ryzen 9 3950X,105.0,16.0,6.6,https://www.techpowerup.com/cpu-specs/,AMD,32
Ryzen Threadripper 2990WX,250.0,32.0,7.8,https://www.techpowerup.com/cpu-specs/,AMD,64
Ryzen Threadripper 3990X,280.0,64.0,4.4,https://www.techpowerup.com/cpu-specs/,AMD,128
Xeon E5-2660 v3,105.0,10.0,10.5,https://ark.intel.com/content/www/us/en/ark/products/81706/intel-xeon-processor-e5-2660-v3-25m-cache-2-60-ghz.html,Intel,20
Xeon E5-2665,115.0,8.0,14.4,https://ark.intel.com/content/www/us/en/ark/products/64597/intel-xeon-processor-e5-2665-20m-cache-2-40-ghz-8-00-gt-s-intel-qpi.html,Intel,16
Xeon E5-2670,115.0,8.0,14.4,https://ark.intel.com/content/www/us/en/ark/products/64595/intel-xeon-processor-e5-2670-20m-cache-2-60-ghz-8-00-gt-s-intel-qpi.html,Intel,16
Xeon E5-2670 v2,115.0,10.0,11.5,https://ark.intel.com/content/www/us/en/ark/products/75275/intel-xeon-processor-e5-2670-v2-25m-cache-2-50-ghz.html,Intel,20
Xeon E5-2680 v3,120.0,12.0,10.0,https://www.intel.co.uk/content/www/uk/en/products/processors/xeon/e5-processors/e5-2680-v3.html,Intel,24
Xeon E5-2683 v4,120.0,16.0,7.5,https://www.intel.co.uk/content/www/uk/en/products/processors/xeon/e5-processors/e5-2683-v4.html,Intel,32
Xeon E5-2690 v2,130.0,10.0,13.0,https://ark.intel.com/content/www/us/en/ark/products/75279/intel-xeon-processor-e5-2690-v2-25m-cache-3-00-ghz.html,Intel,20
Xeon E5-2690 v3,135.0,12.0,11.3,https://ark.intel.com/content/www/us/en/ark/products/81713/intel-xeon-processor-e5-2690-v3-30m-cache-2-60-ghz.html,Intel,24
Xeon E5-2695 v4,120.0,18.0,6.7,https://ark.intel.com/content/www/us/en/ark/products/91316/intel-xeon-processor-e5-2695-v4-45m-cache-2-10-ghz.html,Intel,36
Xeon E5-2697 v4,145.0,18.0,8.1,https://ark.intel.com/content/www/us/en/ark/products/91755/intel-xeon-processor-e5-2697-v4-45m-cache-2-30-ghz.html,Intel,36
Xeon E5-2699 v3,145.0,18.0,8.1,https://ark.intel.com/content/www/us/en/ark/products/81061/intel-xeon-processor-e5-2699-v3-45m-cache-2-30-ghz.html,Intel,36
Xeon E5-2699 v4,145.0,22.0,6.6,https://ark.intel.com/content/www/us/en/ark/products/91317/intel-xeon-processor-e5-2699-v4-55m-cache-2-20-ghz.html,Intel,44
Xeon E5-4610 v4,105.0,10.0,10.5,https://ark.intel.com/content/www/us/en/ark/products/93812/intel-xeon-processor-e5-4610-v4-25m-cache-1-80-ghz.html,Intel,20
Xeon E5-4620,95.0,8.0,11.9,https://ark.intel.com/content/www/us/en/ark/products/64607/intel-xeon-processor-e5-4620-16m-cache-2-20-ghz-7-20-gt-s-intel-qpi.html,Intel,16
Xeon E5-4650L,115.0,8.0,14.4,https://ark.intel.com/content/www/us/en/ark/products/64606/intel-xeon-processor-e5-4650l-20m-cache-2-60-ghz-8-00-gt-s-intel-qpi.html,Intel,16
Xeon E7-8867 v3,165.0,16.0,10.3,https://ark.intel.com/content/www/us/en/ark/products/84681/intel-xeon-processor-e7-8867-v3-45m-cache-2-50-ghz.html,Intel,32
Xeon E7-8880 v4,150.0,22.0,6.8,https://www.intel.co.uk/content/www/uk/en/products/processors/xeon/e7-processors/e7-8880-v4.html,Intel,44
Xeon Gold 6142,150.0,16.0,9.4,https://ark.intel.com/content/www/us/en/ark/products/120487/intel-xeon-gold-6142-processor-22m-cache-2-60-ghz.html,Intel,32
Xeon Gold 6148,150.0,20.0,7.5,https://ark.intel.com/content/www/us/en/ark/products/120489/intel-xeon-gold-6148-processor-27-5m-cache-2-40-ghz.html,Intel,40
Xeon Gold 6248,150.0,20.0,7.5,https://ark.intel.com/content/www/us/en/ark/products/192446/intel-xeon-gold-6248-processor-27-5m-cache-2-50-ghz.html,Intel,40
Xeon Gold 6252,150.0,24.0,6.3,https://ark.intel.com/content/www/us/en/ark/products/192447/intel-xeon-gold-6252-processor-35-75m-cache-2-10-ghz.html,Intel,48
Xeon L5640,60.0,6.0,10.0,https://ark.intel.com/content/www/us/en/ark/products/47926/intel-xeon-processor-l5640-12m-cache-2-26-ghz-5-86-gt-s-intel-qpi.html,Intel,12
Xeon Phi 5110P,225.0,60.0,3.8,https://ark.intel.com/content/www/us/en/ark/products/71992/intel-xeon-phi-coprocessor-5110p-8gb-1-053-ghz-60-core.html,Intel,240
Xeon Platinum 9282,400.0,56.0,7.1,https://www.techpowerup.com/cpu-specs/,Intel,112
Xeon X3430,95.0,4.0,23.8,https://ark.intel.com/content/www/us/en/ark/products/42927/intel-xeon-processor-x3430-8m-cache-2-40-ghz.html,Intel,4
Xeon X5660,95.0,6.0,15.8,https://ark.intel.com/content/www/us/en/ark/products/47921/intel-xeon-processor-x5660-12m-cache-2-80-ghz-6-40-gt-s-intel-qpi.html,Intel,12
